guestId,hasName,hasAddress,hasPhone,hasEmail,hasBirthDate
99315849,true,true,false,true,true
2791827,true,true,true,true,true
124250552,true,true,false,false,true
40690498,true,true,false,false,false
187820786,false,false,false,false,false
78174602,true,true,true,true,true
102269759,true,true,true,true,false
42799544,true,true,false,true,true
104798758,true,true,true,true,true
187828775,true,false,true,true,false
187828775,true,false,true,true,false
188258769,true,false,false,false,false
188452245,false,false,false,false,false
168777677,true,true,true,true,true
93585351,true,true,true,false,true
18598698,true,true,true,true,true
14533816,true,true,false,false,true
188463880,true,false,false,false,false
188468221,true,true,true,true,true
82997292,true,true,false,false,true
188273069,true,true,false,false,false
188274273,true,false,false,false,false
122452319,true,true,false,false,false
188654778,true,false,true,true,false
154841506,true,true,true,true,true
186024606,true,false,false,false,false
186022144,true,true,true,false,false
186025333,true,false,false,false,false
175589144,false,false,false,false,false
73084794,true,true,true,true,true
188754867,true,false,false,false,false
25237317,true,true,true,true,true
35622435,true,true,true,true,false
47753721,true,true,true,true,false
128686455,true,true,false,true,true
188433641,true,false,true,false,false
186948222,true,false,false,false,false
24231150,true,true,true,true,false
85998086,true,true,true,true,true
19645706,true,true,false,false,false
155546396,true,true,true,true,true
82162551,true,true,false,true,true
186947841,true,false,true,false,false
80664765,true,true,false,false,true
103317102,true,true,true,true,true
25608453,true,true,false,true,true
94159026,true,true,true,true,true
158893115,true,true,true,true,true
84600252,true,true,false,true,true
188215218,true,false,false,false,false
148760542,true,true,true,true,false
145615539,true,true,true,true,true
22404166,true,true,false,false,true
50979172,true,true,true,false,false
151908489,true,true,false,true,true
65105171,true,true,false,false,true
96608058,true,true,false,true,true
83206446,true,true,false,true,true
42951636,true,true,true,false,false
18050340,true,true,true,true,true
146099278,true,true,true,true,true
2862330,true,true,false,false,true
188298387,true,false,false,false,false
61221558,true,true,true,true,true
18692798,true,true,false,true,true
186576428,true,false,false,false,false
92375681,true,true,true,true,true
186579022,true,false,false,false,false
166083348,true,true,true,false,true
5607523,true,true,true,true,true
175591026,true,true,false,true,false
188288880,true,false,false,false,false
34593695,true,true,false,true,true
119612675,true,true,true,false,true
188481538,true,true,true,false,false
36864688,true,true,true,false,true
94448956,true,true,true,false,false
188482881,true,false,false,false,false
188484868,true,false,false,false,false
11309571,true,true,true,false,false
54230467,true,true,true,true,true
188298609,true,false,false,false,false
186990931,true,false,false,false,false
4030672,true,true,true,true,true
188490762,true,false,false,false,false
56767463,true,true,false,false,true
188240528,true,false,true,false,false
10865200,true,true,false,true,false
57459318,true,true,true,true,true
63450062,true,true,true,false,true
137542178,true,true,true,true,true
188303836,true,true,true,false,false
39038498,true,true,false,true,true
188304709,true,false,false,false,false
24543562,true,true,false,true,true
188314042,true,true,true,true,true
133289983,true,true,true,true,false
96531666,true,true,true,true,false
29680361,true,true,true,true,true
188547002,true,false,false,false,false
188308730,true,false,false,false,false
23053531,true,true,true,true,false
87280111,true,true,true,true,true
9166895,true,true,true,true,true
142121158,true,true,true,true,false
77554852,true,true,true,true,true
2660598,true,true,true,true,true
175592032,true,true,true,true,false
188312277,true,false,false,false,false
111752772,true,true,true,false,true
16044805,true,true,true,true,false
102285574,true,true,true,true,true
188315705,true,true,true,false,false
188661280,true,false,false,false,false
83764943,true,true,false,true,true
175597236,true,false,false,false,false
50087854,true,true,false,true,true
188247401,true,false,false,false,false
188773560,true,true,true,true,true
158889378,true,true,true,true,true
39673349,true,true,false,true,true
