accountType,accountId,guestId,amperityId,mLifeId,mgmRewardsTierCurrent,expects,numberOfAccounts
betmgm,581850758,128435516,1183bf4a-1bfb-3e83-b202-fa3f95248334,79739923,Sapphire,1,3
patron,100125861,166707745,1c9d6844-0631-3064-8eca-12a5a5c86bb6,100125861,Sapphire,1,3
patron,73504458,118051977,16b88c38-7e62-3dc0-bb1f-555602a1d4ed,73504458,Sapphire,1,2
opera,233202924,22626758,16b8e54e-7563-3132-92ec-c37629098313,49091744,Sapphire,1,4
opera,355847804,119701249,1cac048e-c777-3313-96f0-7172148c9ce9,62884271,Sapphire,1,3
opera,4690897,31078123,1cac3c87-68db-3c54-834c-026009c25588,34385745,Sapphire,1,3
patron,51407424,9633394,1cb1bd0c-ac58-3e1d-91e6-6eea59eefe50,51407424,Sapphire,1,2
patron,74761485,37534545,1b8b3c30-ded4-3a56-b137-92652965e85e,74761485,Sapphire,1,3
patron,72204234,66904469,1b8e42ef-e4f6-3c88-92e9-ffb4e53cb687,72204234,Sapphire,1,2
patron,94390400,137791673,1b90c870-1384-3192-bb06-604d1e5ba5be,94390400,Sapphire,1,3
betmgm,610086983,120074759,170a7408-b269-333d-8f9a-280c1c6e3fc9,19225784,Gold,1,11
patron,83725534,30564993,1b9fb8d6-fbc8-3dcd-b783-d541c2ae3e73,83725534,Sapphire,1,1
tcolv_lms,413806736423,55735255,1fa98c04-acd4-3707-bead-8381724e64cc,76860836,Sapphire,1,6
patron,31696085,28116736,170d1e5e-14d3-3666-8f7a-4ff6b43f67ba,31696085,null,1,1
patron,84480162,2805751,19121e20-90ab-3999-a84f-526011980c19,84480162,Sapphire,1,2
patron,57516133,87868716,1c565fb0-b79f-3fed-a881-f6f9521ab918,57516133,Sapphire,1,1
patron,49912577,11991205,1c590185-1f38-3fb0-853a-413de85efe8f,49912577,Sapphire,1,1
betmgm,555930752,57899450,1c59cbe4-c0bb-37ab-bd37-ce14ae0af2cb,34500807,Gold,1,8
patron,40437209,25325101,17125ef7-c0ed-31de-94b4-5688fc4dfaaa,40437209,Sapphire,1,2
patron,66882644,95090825,1912755b-ae04-38b4-a40f-e653150415bd,66882644,Sapphire,1,1
patron,64207054,31378809,1914263d-cb13-367d-99bf-1850dda9c733,64207054,Sapphire,1,1
patron,70840227,71910162,0bf0f941-a99d-3c75-928a-49c97f2b9445,70840227,Sapphire,1,1
patron,5573982,49844759,0bf1cf11-68d6-3164-8b93-ade2e8f5918c,5573982,null,1,1
patron,56710961,7745501,1722313c-fd2b-3770-8b4e-cdae5caff614,56710961,Sapphire,1,2
patron,19582542,47261561,1c70ddf2-d080-3177-bc03-7a5476d4cebe,19582542,null,1,2
customers,00u5byk15f6DCUTCb1t7,8126165,172b40d6-1ecf-32f4-af0b-7b4b8c53680d,72615152,Sapphire,1,2
patron,56703798,14813215,1baec22c-7d21-3024-b9ea-315c504c54a1,56703798,Sapphire,1,1
customers,00uem5s931eEdIyV91t7,131890338,1732a037-5154-34b4-9409-2b48b96f0bc0,80456385,Sapphire,1,3
patron,46054298,65066675,19c9e6c1-2a91-31d3-8e8e-233554e5ce75,46054298,null,1,2
customers,00u6w0ngJ2id8P9hl1t5,60271037,173a8554-b5a6-3492-827f-415cd65b16ac,1403746,Platinum,1,7
patron,85596278,32464626,191f478b-bc92-35c5-b2c3-cd0fc93e5e00,85596278,Sapphire,1,2
betmgm,620498502,190400588,173fb626-94b5-3256-939b-436ff138cb27,101699821,null,1,2
customers,00u4wh3v3sIrw851e1t7,127115278,1bca8ab3-b337-32ec-8234-527bd5e91129,72435196,Sapphire,1,6
archtics,129276,56173061,1e38d06e-58da-3bcd-bc7d-dc3b0c0ad7bd,46263157,Sapphire,1,9
opera,786432550,94731411,1e399d0c-e667-3131-8e89-6399342cc30b,69785530,Sapphire,1,3
