guestId,amperityId,expects,mLifeId,mgmRewardsTierCurrent,numberOfAccounts
14838092,859bd74a-1d59-39b7-be13-035808151427,1,18042888,null,1
11907574,8826018f-73ab-3002-89d6-1cba4182f4e2,1,59604273,Sapphire,1
14897686,0849d02b-3b06-3359-89df-15b9ece96cea,1,3350812,Sapphire,7
124384659,613a3267-28f0-3c97-b9bc-91a9af01f486,1,78069451,Sapphire,7
2617906,050fe883-c92b-355a-abce-23b236a4d84e,1,55333946,Sapphire,5
2239018,ff84129b-da40-355e-bc94-198609b4b037,1,83200625,Sapphire,5
14974589,c90f662a-f45b-3cce-a074-d8de2e67e65d,1,59875230,Sapphire,1
15002330,c78a76d9-1d70-3e0b-9293-39773fb15664,1,52484763,Sapphire,1
15011124,05c9db12-76c8-3cc6-a2a2-46fa5227bcb5,1,2266002,null,1
13092062,7ee9f2bf-131f-3ad7-9b9b-307199946198,1,76600370,Sapphire,8
13093965,0f616a84-bc38-3383-accd-1de897991164,1,62240273,Sapphire,3
9635457,8e4308b6-576d-3851-a219-03bae7409adb,1,54444127,Sapphire,1
15023818,610ee52c-7bcf-3a0e-bc5f-3fca2c58ae10,1,84986315,Sapphire,5
15034779,7d89919c-d226-3c68-a189-be5f01399be8,1,75397256,Sapphire,1
10675339,697e6a76-d0ed-392b-9da2-50c631fa7f64,1,59756097,Sapphire,1
10701988,0b53a275-4e43-3df5-a06d-13d01deb88a1,1,74933657,Sapphire,1
10712578,7725b9e0-2c68-307f-b9c9-5c1a052e403e,1,64238323,Sapphire,1
10719525,84aba636-8c35-3399-9c54-4042f81ceb62,1,66550063,Sapphire,1
10733645,76637400-fd44-3bbc-98b0-f9023c8e5b64,1,56149609,Sapphire,1
122871678,e1babb9f-3220-3d18-a591-cfb051240359,1,66217514,Sapphire,1
13159199,efe0c6aa-11e4-3af2-8ea0-d74101d74f02,1,63555317,Sapphire,2
123754447,f5aaeccd-be5f-3325-9f2c-c7d0327ccf85,1,57004204,Sapphire,1
9691933,4058d6cc-9705-3816-bbb9-3a27231961d4,1,21588368,null,8
123773053,bfe66e5a-821a-38ab-8ad9-642a41d4b274,1,97267859,Sapphire,3
