accountType,accountId,guestId,mLifeId,mgmRewardsTierCurrent,stateCd
patron,77041802,49784772,77041802,Sapphire,MD
patron,75602471,33544703,75602471,Sapphire,AK
patron,72743221,113034499,72743221,Sapphire,GA
patron,52564402,86191706,52564402,Sapphire,null
patron,81555161,72436749,81555161,Sapphire,null
patron,68930062,80091425,68930062,Sapphire,null
betmgm,577972502,186008438,80614726,Sapphire,DC
patron,53425677,100328087,53425677,Sapphire,null
betmgm,551753168,133630301,95109978,Sapphire,NJ
patron,77255808,1687885,77255808,Sapphire,null
archtics,14646341,126512780,68681998,Sapphire,CO
patron,84361376,53068489,84361376,Sapphire,PA
patron,59627399,93763266,59627399,Sapphire,null
patron,79426324,120738213,79426324,Sapphire,VA
patron,99769786,165716484,99769786,Sapphire,MA
opera,2973180,76010763,12518759,Sapphire,IL
patron,56957577,65009547,56957577,Sapphire,null
patron,80466313,132182970,80466313,Sapphire,GA
patron,63370651,54846806,63370651,Sapphire,CA
patron,50899905,123094803,50899905,Sapphire,AL
patron,90636178,43370654,90636178,Sapphire,NY
patron,62423284,6482295,62423284,Sapphire,NV
opera,464520998,78760358,3234776,Sapphire,OH
customers,00uhy1vuibN8d8jkY1t7,103465476,81976310,Sapphire,NY
patron,77438428,111626735,77438428,Sapphire,SC
patron,78449015,61612282,78449015,Sapphire,CA
opera,572129012,25357798,62407367,Sapphire,CA
patron,4314756,94114786,4314756,Sapphire,MI
patron,1053765,55015325,1053765,Sapphire,CA
patron,59492217,58143126,59492217,Sapphire,CA
patron,17826875,96526581,17826875,Sapphire,CA
patron,70604175,34320643,70604175,Sapphire,OH
patron,49053486,77082496,49053486,Sapphire,MS
opera,183562395,92216852,78837858,Sapphire,FL
patron,81185749,93319916,81185749,Sapphire,null
opera,783140534,47688109,68348363,Sapphire,WA
patron,80559554,132677671,80559554,Sapphire,AZ
patron,94620743,138614240,94620743,Sapphire,CA
patron,68624834,46319350,68624834,Sapphire,WI
opera,805134475,82431916,76704506,Sapphire,IL
patron,96272797,185926226,96272797,Sapphire,VA
opera,805184641,51654880,75753109,Sapphire,CA
patron,55241397,90149178,55241397,Sapphire,null
patron,59150692,91238060,59150692,Sapphire,MI
patron,67878487,75242346,67878487,Sapphire,CO
patron,3107415,56522178,40842229,Sapphire,OK
patron,20068137,52881435,20068137,Sapphire,FL
patron,67218074,149158706,67218074,Sapphire,CA
opera,899112875,63318117,77878445,Sapphire,IL
patron,59591360,49615679,59591360,Sapphire,null
patron,93802171,136553967,93802171,Sapphire,null
archtics,15435127,41339788,69532270,Sapphire,AL
patron,70376549,87079652,70376549,Sapphire,AL
patron,98246141,152814528,98246141,Sapphire,ON
patron,76484748,48694471,76484748,Sapphire,TN
patron,55804552,2143705,55804552,Sapphire,null
opera,807051724,34100839,77128047,Sapphire,null
patron,41446726,3537700,41446726,Sapphire,WA
patron,74047662,68008857,74047662,Sapphire,MS
patron,68897947,51980446,68897947,Sapphire,null
patron,79849612,129059364,79849612,Sapphire,MS
patron,83293606,22207407,83293606,Sapphire,NJ
patron,74676586,58874454,65217444,Sapphire,FL
customers,00u4suase72o111yg1t7,76766321,74608914,Sapphire,NOV
patron,58585982,140253505,58585982,Sapphire,CA
patron,97350356,148949603,97350356,Sapphire,OH
patron,54922982,59839377,54922982,Sapphire,null
sevenrooms,ahNzfnNldmVucm9vbXMtc2VjdXJlcicLEhpuaWdodGxvb3BfVmVudWVHcm91cENsaWVudBiAgOyp4tHqCww,5228568,58136790,Sapphire,NM
patron,85227171,24598653,85227171,Sapphire,PA
patron,68224184,52970120,68224184,Sapphire,MS
opera,574646396,103726347,49925306,Sapphire,NM
patron,54523777,87201070,54523945,Sapphire,CA
patron,50806937,29491015,50806937,Sapphire,OH
patron,97155875,148329849,97155875,Sapphire,WV
patron,56537043,68791851,56537043,Sapphire,TN
betmgm,606857884,167125163,100294771,Sapphire,MD
opera,446946372,13787382,1195906,Sapphire,TX
archtics,6067957,57647584,94837734,Sapphire,SC
patron,52347852,25328823,52347852,Sapphire,null
patron,57429717,59274485,57429717,Sapphire,null
patron,42650931,39997579,42650931,Sapphire,ON
patron,73637637,78035419,73637637,Sapphire,MD
patron,63532724,28605437,63532724,Sapphire,NY
patron,62725059,99473451,62725059,Sapphire,NV
patron,93527865,136278101,93527865,Sapphire,null
patron,55729277,118471209,55729277,Sapphire,null
