guestId,expects,mLifeId,mgmRewardsTierCurrent,numberOfAccounts,stateCd,marketableNameFlag,marketableAddressFlag,isValidEmail,isValidMail,goo,betMGMEnrollment
42121260,1,47837252,Sapphire,3,null,true,false,true,false,false,false
166850884,1,100166167,Sapphire,6,MD,true,true,true,true,false,true
166860381,1,100166810,Sapphire,3,CA,true,true,false,true,false,false
174218861,1,100889672,null,4,ON,true,true,true,true,false,true
40100650,1,66380048,Sapphire,5,MN,true,true,true,true,false,false
40123767,1,57679645,Sapphire,3,null,true,false,false,false,false,false
40123954,1,70625506,Sapphire,3,MI,true,true,false,true,false,false
138532519,1,94581551,Sapphire,4,MI,true,true,true,true,false,true
46657819,1,5818000,null,4,CA,true,true,false,true,false,false
42155069,1,59644525,Sapphire,5,AZ,true,true,true,true,false,false
46734012,1,62912952,Sapphire,3,IL,true,true,false,true,false,false
46753390,1,76135306,Sapphire,3,null,true,false,false,false,false,false
46817405,1,43662698,Sapphire,6,TX,true,true,true,true,false,false
174227080,1,100889021,null,4,MO,true,true,true,true,false,true
44688969,1,64348706,Sapphire,9,PA,true,true,true,true,false,false
34802978,1,47060747,null,3,LA,true,false,false,false,false,false
34818382,1,54946755,Sapphire,3,null,true,false,false,false,false,false
165792991,1,99796440,Sapphire,6,MD,true,true,true,true,false,true
154977800,1,98796096,Sapphire,4,MI,true,true,true,true,false,true
40138276,1,73800252,Sapphire,4,SC,true,true,true,true,false,false
150899564,1,97705512,Pearl,5,NY,true,true,true,true,false,false
174256773,1,100893321,null,4,VA,true,true,true,true,false,true
174266265,1,100879211,null,7,FL,true,true,true,true,false,false
45933787,1,46849605,null,3,CA,true,true,true,true,false,false
45057113,1,54002376,Sapphire,3,null,true,false,false,false,false,false
45058609,1,64597225,Sapphire,3,ON,true,true,true,true,false,false
30325225,1,68068041,Sapphire,3,SC,true,true,false,true,false,false
155082961,1,98830361,Sapphire,5,MD,true,true,true,true,false,false
155129997,1,98837212,Sapphire,6,NL,true,false,true,false,false,false
45953217,1,77932499,Sapphire,4,FL,true,true,true,true,false,false
172962771,1,73659683,Sapphire,5,CA,true,true,true,true,false,false
45722744,1,75719033,Sapphire,11,CA,true,true,true,true,false,false
47216374,1,67121661,Sapphire,6,NC,true,true,true,true,false,false
45747992,1,90099816,Sapphire,3,TN,true,true,true,true,false,false
45285444,1,55109877,Sapphire,3,null,true,false,false,false,false,false
27648741,1,60943434,Sapphire,3,PA,true,true,false,true,false,false
49067518,1,61073186,Sapphire,4,TX,true,true,false,true,false,false
131111223,1,80223194,Sapphire,3,AL,true,true,true,true,true,false
131116883,1,80257290,Sapphire,4,CA,true,true,true,true,false,false
151078791,1,97761472,Sapphire,4,NY,true,true,true,true,false,true
155249012,1,98875632,Sapphire,4,IL,true,true,true,true,false,true
49169489,1,83672517,Sapphire,4,MA,true,true,false,true,false,false
45912909,1,17322986,Sapphire,4,GA,true,true,false,true,false,false
44769247,1,58250107,Sapphire,5,TX,true,true,true,true,false,false
44777793,1,79492686,Sapphire,3,KY,true,true,true,true,false,false
151101434,1,97823624,Sapphire,8,CA,true,true,true,true,false,false
44785861,1,7088931,null,3,CA,true,true,false,true,false,false
155270958,1,98877110,Sapphire,4,AZ,true,true,true,true,false,true
43336033,1,64741834,Sapphire,8,CA,true,true,true,true,false,false
155290190,1,99751341,Sapphire,8,CA,true,true,true,true,false,false
155300846,1,98881334,Sapphire,4,ON,true,true,true,true,false,true
45945817,1,45496401,null,4,PA,true,true,false,true,false,false
45949392,1,45733092,null,6,CO,true,true,false,true,false,false
155303532,1,98881886,Sapphire,4,MA,true,true,true,true,false,true
155310725,1,50882891,Pearl,4,MI,true,true,true,true,false,true
44803318,1,89699200,Sapphire,4,OH,true,true,false,true,false,false
49948824,1,63533149,Sapphire,6,CA,true,true,true,true,false,false
49963458,1,89563836,Sapphire,6,OH,true,true,true,true,false,false
151640506,1,97924425,Sapphire,4,HI,true,true,true,true,false,false
45981009,1,68675594,Sapphire,7,CA,true,true,false,true,false,false
43490373,1,76518707,Sapphire,4,MA,true,true,true,true,false,false
43501642,1,51740345,Sapphire,8,CA,true,true,true,true,false,false
43504616,1,60355414,Sapphire,5,--,true,false,true,false,false,false
50001543,1,54760936,Sapphire,3,CA,true,true,false,true,false,false
173289968,1,62900609,Sapphire,4,AZ,true,true,true,true,false,false
44811843,1,49071393,null,3,FL,true,true,false,true,false,false
49266477,1,89490251,Sapphire,3,OH,true,true,true,true,false,false
49269160,1,65807415,Sapphire,3,NY,true,true,true,true,false,false
151728192,1,97944328,Sapphire,4,AZ,true,true,true,true,false,true
49293929,1,56759268,Sapphire,3,null,true,false,false,false,false,false
49304015,1,20962239,null,4,CA,true,true,false,true,false,false
43632153,1,44052848,null,5,AZ,true,true,true,true,false,false
44847935,1,84986295,Sapphire,6,NY,true,true,true,true,false,false
49311059,1,4210988,null,9,FL,true,true,true,true,false,false
43985915,1,16940007,null,3,OH,true,true,false,true,false,false
50023071,1,44295126,null,4,--,true,false,true,false,false,false
49318481,1,54377124,Sapphire,3,null,true,false,false,false,false,false
49325065,1,66915826,Sapphire,3,CA,true,true,false,true,false,false
151871780,1,98881599,Sapphire,6,GA,true,true,true,true,false,false
43688691,1,10060207,null,4,NY,true,true,true,true,false,false
151931322,1,97999946,Sapphire,5,FL,true,true,true,true,false,true
155350588,1,98903975,Sapphire,4,KS,true,true,true,true,false,true
